datetime,assim_c,ddage,mgl,mo,RM,tempRM,RMpr,fgl,fr,fo,fggl,fgr,fgo,GT,available,gr_gl,gr_r,gr_o,gr_dl,wgl,wr,wo,maint,rootd
2017-11-29 12:00:00,1.2655027697940766,0.0,11.10666100854401,0.0,11.10666100854401,0.8878517825837684,0.8878517825837684,0.9225243859506559,0.07747561404934417,0.0,1.3496531766458097,0.11187478668725297,0.0,1.4615279633330627,0.21705149488430767,0.20023529703781787,0.01681619784648982,0.0,0.0,370.4222689151715,31.52199256731344,0.0,1.048451274909769,0.8464999999999622
2017-11-29 13:00:00,1.2655027697940766,0.0,11.112668067455145,0.0,11.112668067455145,0.8883319789234454,0.8883319789234454,0.9225249245933281,0.07747507540667188,0.0,1.3496539646800392,0.11187400888723419,0.0,1.4615279735672733,0.2167755048560807,0.19998080627103648,0.016794698585044218,0.0,0.0,370.62224972144253,31.538787265898485,0.0,1.048727264937996,0.8469999999999621
2017-11-29 14:00:00,1.2655027697940766,0.0,11.118667491643276,0.0,11.118667491643276,0.8888115649534694,0.8888115649534694,0.9225254632572246,0.07747453674277545,0.0,1.3496547527453198,0.11187323105656774,0.0,1.4615279838018875,0.21649986560161644,0.19972663880925806,0.01677322679235838,0.0,0.0,370.82197636025177,31.555560492690844,0.0,1.0490029041924602,0.8474999999999621
2017-11-29 15:00:00,1.2655027697940766,0.0,11.124659290807553,0.0,11.124659290807553,0.8892905414491772,0.8892905414491772,0.9225260019423452,0.07747399805765484,0.0,1.349655540841651,0.11187245319525359,0.0,1.4615279940369046,0.21622457667529002,0.19947279424193137,0.016751782433358658,0.0,0.0,371.0214491544937,31.572312275124204,0.0,1.0492781931187867,0.847999999999962
2017-11-29 16:00:00,1.2655027697940766,0.0,11.13064347463481,0.0,11.13064347463481,0.8897689091849217,0.8897689091849217,0.92252654064869,0.07747345935131007,0.0,1.3496563289690335,0.11187167530329174,0.0,1.4615280042723253,0.21594963763204197,0.19921927215902585,0.016730365473016144,0.0,0.0,371.22066842665276,31.58904264059722,0.0,1.0495531321620346,0.848499999999962
2017-11-29 17:00:00,1.9749099836634918,0.0,11.136620052799582,0.0,11.136620052799582,0.8902466689340724,0.8902466689340724,0.9225270793762589,0.07747292062374113,0.0,1.3496571171274667,0.11187089738068219,0.0,1.4615280145081488,0.6234004243013656,0.5751037727126593,0.04829665158870623,0.0,0.0,371.79577219936544,31.637339292185928,0.0,1.3515095593621262,0.8489999999999619
2017-11-29 18:00:00,1.9749099836634918,0.0,11.153873165980963,0.0,11.153873165980963,0.8916258599692021,0.8916258599692021,0.922527618125052,0.07747238187494804,0.0,1.349657905316951,0.11187011942742496,0.0,1.461528024744376,0.6226077423745309,0.5743728375989919,0.04823490477553892,0.0,0.0,372.37014503696446,31.68557419696147,0.0,1.352302241288961,0.8494999999999618
2017-11-29 19:00:00,2.5951767614673584,0.0,11.171104351108934,0.0,11.171104351108934,0.46546268129620555,0.46546268129620555,0.92253128622001,0.07746871377999,0.0,1.3496632717398747,0.11186482269830555,0.0,1.4615280944381803,1.224033827438298,1.1292095012034549,0.09482432623484317,0.0,0.0,373.4993545381679,31.78039852319631,0.0,1.3711429340290604,0.8499999999999618
2017-11-29 20:00:00,2.5951767614673584,0.0,11.204980636145036,0.0,11.204980636145036,0.46687419317270984,0.46687419317270984,0.9225349559141158,0.07746504408588423,0.0,1.3496686405023515,0.11185952366001682,0.0,1.4615281641623683,1.2232225154498575,1.128465529363688,0.0947569860861694,0.0,0.0,374.62782006753156,31.87515550928248,0.0,1.371954246017501,0.8504999999999617
2017-11-29 21:00:00,2.5951767614673584,0.0,11.238834602025946,0.0,11.238834602025946,0.4682847750844144,0.4682847750844144,0.9225386272073693,0.07746137279263071,0.0,1.3496740116043815,0.11185422231255875,0.0,1.4615282339169402,1.2224117380021862,1.1277220466587112,0.09468969134347496,0.0,0.0,375.7555421141903,31.969845200625954,0.0,1.3727650234651723,0.8509999999999617
