leafnumber,leafnumber_range1,leafnumber_range2,eachLenDist_a,eachLenDist_b,eachLen,eachLeafArea,LeafArea,LAI_expect,LAI,leaf_area,leaf_length
,,,,,,,,,,20,5
,,,,,,,,,,45.552,7.8
,,,,,,,,,,0.88,1.1
,,,,,,,,,,10.08,3.6
,,,,,,,,,,23.76,5.4
,,,,,,,,,,57.232,9.8
,,,,,,,,,,130,13
,,,,,,,,,,2.16,1.8
,,,,,,,,,,3.312,2.3
,,,,,,,,,,3.128,2.3
,,,,,,,,,,3.864,2.3
,,,,,,,,,,2.816,2.2
,,,,,,,,,,4.368,2.6
,,,,,,,,,,12.896,5.2
,,,,,,,,,,46.92,8.5
,,,,,,,,,,22.88,6.5
,,,,,,,,,,70.864,10.3
,,,,,,,,,,19.264,5.6
,,,,,,,,,,65.096,10.3
,,,,,,,,,,20.992,6.4
,,,,,,,,,,2.448,1.8
,,,,,,,,,,12.672,4.4
,,,,,,,,,,45.6,7.6
,,,,,,,,,,0.768,1.2
,,,,,,,,,,28.224,5.6
,,,,,,,,,,59.16,8.7
,,,,,,,,,,3.888,2.7
,,,,,,,,,,10.824,4.1
,,,,,,,,,,46.816,7.7
,,,,,,,,,,1.232,1.4
,,,,,,,,,,38.4,7.5
,,,,,,,,,,2.592,1.8
,,,,,,,,,,12.96,4.5
,,,,,,,,,,54.208,7.7
,,,,,,,,,,0.792,1.1
,,,,,,,,,,26.88,6
,,,,,,,,,,1.496,1.7
,,,,,,,,,,4.232,2.3
,,,,,,,,,,22,5
,,,,,,,,,,65.472,9.3
,,,,,,,,,,105.728,11.8
,,,,,,,,,,0.768,1.2
,,,,,,,,,,21.624,5.3
,,,,,,,,,,58.464,8.7
,,,,,,,,,,0.864,1.2
,,,,,,,,,,2.592,1.8
,,,,,,,,,,21.624,5.1
,,,,,,,,,,51.2,8
,,,,,,,,,,0.96,1.2
,,,,,,,,,,26.448,5.7
,,,,,,,,,,63.336,8.7
,,,,,,,,,,1.12,1.4
,,,,,,,,,,11.088,4.2
,,,,,,,,,,42.048,7.2
,,,,,,,,,,96.8,11
,,,,,,,,,,130,13
,,,,,,,,,,1.344,1.4
,,,,,,,,,,24.64,5.6
,,,,,,,,,,50.56,7.9
,,,,,,,,,,2.176,1.6
,,,,,,,,,,11.52,4.5
,,,,,,,,,,0.792,1.1
,,,,,,,,,,25.984,5.8
,,,,,,,,,,75.24,9.9
,,,,,,,,,,0.8,1
,,,,,,,,,,9.512,4.1
,,,,,,,,,,0.32,1
,,,,,,,,,,21.624,5.1
,,,,,,,,,,86.52,10.5
,,,,,,,,,,1.248,1.3
,,,,,,,,,,10.08,4.5
,,,,,,,,,,42.048,7.3
,,,,,,,,,,0.56,1
,,,,,,,,,,21.632,5.2
,,,,,,,,,,93.24,10.5
,,,,,,,,,,4.2,2.5
,,,,,,,,,,14.08,4.4
,,,,,,,,,,45,7.5
,,,,,,,,,,0.32,0.8
,,,,,,,,,,16.512,4.8
,,,,,,,,,,66.24,9.2
,,,,,,,,,,2.736,1.9
,,,,,,,,,,7.8,3.9
,,,,,,,,,,49.28,8
,,,,,,,,,,0.8,1
,,,,,,,,,,24.624,5.7
,,,,,,,,,,55.76,8.5
,,,,,,,,,,0.88,1.1
,,,,,,,,,,7.2,3.6
,,,,,,,,,,33.6,7
,,,,,,,,,,0.8,1
,,,,,,,,,,26.904,5.9
,,,,,,,,,,75.272,9.7
