date,DAP,fname,ti_value,temp,GDD,leaf_cnt,init_leaf_count,leaf_incr_count,leaf_width,leaf_length,LAI,temp1
2021-10-19,0,C15_L02_01_002,21.83333333,21,0,3,2,1,1.5,1.7,0.01836,21
2021-10-26,7,C15_L02_01_002,22.2,21,119,5,2,3,5.2,4.7,0.29328,21
2021-11-02,14,C15_L02_01_002,22.41666667,21,238,6,2,4,7.6,7.9,0.864576,21
2021-11-09,21,C15_L02_01_002,22.66666667,21,357,8,2,6,10.4,9.7,1.936896,21
2021-11-16,28,C15_L02_01_002,21.88888889,21,448,9,2,7,12.4,12.1,3.240864,21
2021-11-23,0,C15_L02_01_002,22.2,21,0,2,2,0,1,1,0.0048,21
2021-11-30,7,C15_L02_01_002,22.1,21,119,5,2,3,2.9,3.7,0.12876,21
2021-12-07,14,C15_L02_01_002,22.3,21,238,7,2,5,6.3,9.1,0.963144,21
2021-12-14,21,C15_L02_01_002,22.1,21,357,10,2,8,9,8.7,1.8792,21
2021-08-31,0,C15_L02_01_003,20,21,0,1,1,0,2,2.3,0.01104,21
2021-10-19,0,C15_L02_01_003,21.8,21,0,2,1,1,2.6,2.6,0.032448,21
2021-10-26,7,C15_L02_01_003,22.22222222,21,119,4,1,3,4.1,4.1,0.161376,21
2021-11-02,14,C15_L02_01_003,22.36363636,21,238,6,1,5,7.4,6.8,0.724608,21
2021-11-09,21,C15_L02_01_003,22.5,21,357,8,1,7,11.2,10.1,2.171904,21
2021-11-23,0,C15_L02_01_003,22,21,0,2,2,0,1.2,1.3,0.007488,21
2021-11-30,7,C15_L02_01_003,22.11111111,21,119,4,2,2,2.8,4.5,0.12096,21
2021-12-07,14,C15_L02_01_003,22.2,21,238,6,2,4,6.4,6.7,0.617472,21
2021-12-14,21,C15_L02_01_003,22.09090909,21,357,7,2,5,10.2,9.7,1.662192,21
2021-08-31,0,C15_L02_01_004,20,21,0,2,2,0,2.1,2.3,0.023184,21
2021-10-19,0,C15_L02_01_004,21.77777778,21,0,3,2,1,2.6,2.7,0.050544,21
2021-10-26,7,C15_L02_01_004,22.2,21,119,6,2,4,5.9,5.5,0.46728,21
2021-11-02,14,C15_L02_01_004,22.4,21,238,7,2,5,10.1,8.8,1.493184,21
2021-11-23,0,C15_L02_01_004,22.09090909,21,0,2,2,0,2.1,2.5,0.0252,21
2021-11-30,7,C15_L02_01_004,22.1,21,119,4,2,2,2.6,2.6,0.064896,21
2021-12-07,14,C15_L02_01_004,22.22222222,21,238,6,2,4,4.5,4.5,0.2916,21
2021-12-14,21,C15_L02_01_004,22,21,357,9,2,7,7.9,7.8,1.330992,21
2021-12-21,28,C15_L02_01_004,21.5,21,448,10,2,8,11.2,11.8,3.17184,21
2021-10-19,0,C15_L02_01_005,22,21,0,3,3,0,1.5,1.9,0.02052,21
2021-10-26,7,C15_L02_01_005,22.3,21,119,5,3,2,5.2,4.9,0.30576,21
2021-11-02,14,C15_L02_01_005,22.5,21,238,7,3,4,7.7,7.7,0.996072,21
2021-11-23,0,C15_L02_01_005,22.125,21,0,2,2,0,1.8,1.9,0.016416,21
2021-11-30,7,C15_L02_01_005,22.08333333,21,119,4,2,2,2.8,2.8,0.075264,21
2021-12-07,14,C15_L02_01_005,22.27272727,21,238,6,2,4,4.4,4.2,0.266112,21
2021-12-14,21,C15_L02_01_005,22.09090909,21,357,9,2,7,8.7,8.7,1.634904,21
2021-12-21,28,C15_L02_01_005,21,21,448,9,2,7,9.2,9.1,1.808352,21
2021-08-31,0,C15_L02_01_006,20,21,0,2,2,0,2.2,2.1,0.022176,21
2021-10-19,0,C15_L02_01_006,21.81818182,21,0,3,2,1,1.7,2.2,0.026928,21
2021-10-26,7,C15_L02_01_006,22.375,21,119,5,2,3,5,5,0.3,21
2021-11-02,14,C15_L02_01_006,22.22222222,21,238,7,2,5,7.3,7.8,0.956592,21
2021-11-23,0,C15_L02_01_006,22.25,21,0,2,2,0,1,1.1,0.00528,21
2021-11-30,7,C15_L02_01_006,22.09090909,21,119,4,2,2,3.5,3.6,0.12096,21
2021-12-07,14,C15_L02_01_006,22.3,21,238,6,2,4,5.5,5.4,0.42768,21
2021-12-14,21,C15_L02_01_006,22.1,21,357,6,2,4,7.3,9.8,1.030176,21
2021-12-21,28,C15_L02_01_006,21.5,21,448,11,2,9,12.5,13,4.29,21
2021-08-31,0,C15_L02_01_008,20,21,0,2,2,0,1.5,1.8,0.01296,21
2021-08-31,0,C15_L02_01_009,20.07692308,21,0,2,2,0,1.8,2.3,0.019872,21
2021-08-31,0,C15_L02_01_010,20,21,0,2,2,0,1.7,2.3,0.018768,21
2021-08-31,0,C15_L02_01_011,20.08333333,21,0,2,2,0,2.1,2.3,0.023184,21
2021-08-31,0,C15_L02_01_012,20,21,0,2,2,0,1.6,2.2,0.016896,21
2021-08-31,0,C15_L02_01_013,20.07692308,21,0,2,2,0,2.1,2.6,0.026208,21
2021-12-03,7,C47_L02_001,20.21428571,21,105,5,2,3,3.1,5.2,0.19344,21
2021-12-17,21,C47_L02_001,20.5,21,315,7,2,5,6.9,8.5,0.98532,21
2021-12-03,7,C47_L02_002,20.16666667,21,105,5,5,0,4.4,6.5,0.3432,21
2021-12-17,21,C47_L02_002,20.5,21,315,7,5,2,8.6,10.3,1.488144,21
2021-12-03,7,C47_L02_003,20.16666667,21,105,5,5,0,4.3,5.6,0.28896,21
2021-12-17,21,C47_L02_003,20.53846154,21,315,7,5,2,7.9,10.3,1.367016,21
2021-12-03,7,C47_L02_004,20.54545455,21,105,5,5,0,4.1,6.4,0.31488,21
2021-12-17,21,C47_L02_004,21.125,21,336,11,5,6,10,,3.2208,21
2021-11-23,0,C12_L02_01_001,24,24,0,2,2,0,1.7,1.8,0.014688,24
2021-11-30,7,C12_L02_01_001,24,24,133,4,2,2,3.6,4.4,0.152064,24
2021-12-07,14,C12_L02_01_001,24,24,266,8,2,6,7.5,7.6,1.0944,24
2021-12-28,0,C12_L02_01_001,23.54545455,24,0,1,1,0,0.8,1.2,0.002304,24
2022-01-11,7,C12_L02_01_001,23.81818182,24,126,5,1,4,6.3,5.6,0.42336,24
2022-01-18,14,C12_L02_01_001,24,24,266,9,1,8,8.5,8.7,1.59732,24
2021-11-23,0,C12_L02_01_002,24,24,0,2,2,0,1.8,2.7,0.023328,24
2021-11-30,7,C12_L02_01_002,24,24,133,4,2,2,3.3,4.1,0.129888,24
2021-12-07,14,C12_L02_01_002,24,24,266,8,2,6,7.6,7.7,1.123584,24
2021-12-28,0,C12_L02_01_002,23.4,24,0,1,1,0,1.1,1.4,0.003696,24
2022-01-11,7,C12_L02_01_002,23.81818182,24,126,6,1,5,10,,1.4688,24
2022-01-18,14,C12_L02_01_002,24,24,266,9,1,8,6.4,7.5,1.0368,24
2021-11-23,0,C12_L02_01_003,24,24,0,2,2,0,1.8,1.8,0.015552,24
2021-11-30,7,C12_L02_01_003,24,24,133,4,2,2,3.6,4.5,0.15552,24
2021-12-07,14,C12_L02_01_003,24,24,266,8,2,6,8.8,7.7,1.300992,24
2021-12-28,0,C12_L02_01_003,23.5,24,0,1,1,0,0.9,1.1,0.002376,24
2022-01-11,7,C12_L02_01_003,23.8,24,126,5,1,4,5.6,6,0.4032,24
2021-11-23,0,C12_L02_01_004,24,24,0,1,1,0,1.1,1.7,0.004488,24
2021-11-30,7,C12_L02_01_004,24,24,133,3,1,2,2.3,2.3,0.038088,24
2021-12-07,14,C12_L02_01_004,24,24,266,6,1,5,5.5,5,0.396,24
2021-12-14,21,C12_L02_01_004,24.125,24,399,9,1,8,8.8,9.3,1.767744,24
2021-12-21,28,C12_L02_01_004,23.88888889,24,504,10,1,9,11.2,11.8,3.17184,24
2021-12-28,0,C12_L02_01_004,23.5,24,0,1,1,0,0.8,1.2,0.002304,24
2022-01-11,7,C12_L02_01_004,23.81818182,24,126,5,1,4,5.1,5.3,0.32436,24
2022-01-18,14,C12_L02_01_004,24,24,266,8,1,7,8.4,8.7,1.403136,24
2021-11-23,0,C12_L02_01_005,24,24,0,1,1,0,0.9,1.2,0.002592,24
2021-11-30,7,C12_L02_01_005,24,24,133,3,1,2,1.8,1.8,0.023328,24
2021-12-07,14,C12_L02_01_005,24,24,266,6,1,5,5.3,5.1,0.389232,24
2021-12-14,21,C12_L02_01_005,24.125,24,399,9,1,8,8,8,1.3824,24
2021-12-28,0,C12_L02_01_005,23.45454545,24,0,1,1,0,1,1.2,0.00288,24
2022-01-11,7,C12_L02_01_005,23.81818182,24,126,5,1,4,5.8,5.7,0.39672,24
2022-01-18,14,C12_L02_01_005,24,24,266,8,1,7,9.1,8.7,1.520064,24
2021-11-23,0,C12_L02_01_006,24,24,0,2,2,0,1,1.4,0.00672,24
2021-11-30,7,C12_L02_01_006,24,24,133,4,2,2,3.3,4.2,0.133056,24
2021-12-07,14,C12_L02_01_006,24,24,266,6,2,4,7.3,7.2,0.756864,24
2021-12-14,21,C12_L02_01_006,24.125,24,399,9,2,7,11,11,2.6136,24
2021-12-21,28,C12_L02_01_006,23.85714286,24,504,11,2,9,12.5,13,4.29,24
2021-12-28,0,C12_L02_01_006,23.5,24,0,1,1,0,1.2,1.4,0.004032,24
2022-01-11,7,C12_L02_01_006,23.8,24,126,5,1,4,5.5,5.6,0.3696,24
2022-01-18,14,C12_L02_01_006,24,24,266,9,1,8,8,7.9,1.36512,24
2021-11-23,0,C14_L02_01_001,24.25,24,0,2,2,0,1.7,1.6,0.013056,24
2021-11-30,7,C14_L02_01_001,23.8,24,126,4,2,2,3.2,4.5,0.13824,24
2021-12-28,0,C14_L02_01_001,24.4,24,0,1,1,0,0.9,1.1,0.002376,24
2022-01-11,7,C14_L02_01_001,24,24,133,6,1,5,5.6,5.8,0.467712,24
2022-01-18,14,C14_L02_01_001,23,24,252,9,1,8,9.5,9.9,2.03148,24
2021-11-23,0,C14_L02_01_002,24,24,0,2,2,0,1,1,0.0048,24
2021-11-30,7,C14_L02_01_002,23.8,24,126,4,2,2,2.9,4.1,0.114144,24
2021-12-28,0,C14_L02_01_002,24.3,24,0,1,1,0,0.4,1,0.00096,24
2022-01-11,7,C14_L02_01_002,24,24,133,5,1,4,5.3,5.1,0.32436,24
2022-01-18,14,C14_L02_01_002,23.33333333,24,252,8,1,7,10.3,10.5,2.07648,24
2021-11-23,0,C14_L02_01_003,24,24,0,2,2,0,1.2,1.3,0.007488,24
2021-11-30,7,C14_L02_01_003,23.8,24,126,4,2,2,2.8,4.5,0.12096,24
2021-12-07,14,C14_L02_01_003,24,24,266,6,2,4,7.2,7.3,0.756864,24
2021-12-28,0,C14_L02_01_003,24.36363636,24,0,2,2,0,0.7,1,0.00336,24
2022-01-11,7,C14_L02_01_003,24,24,133,6,2,4,5.2,5.2,0.389376,24
2022-01-18,14,C14_L02_01_003,23,24,252,8,2,6,11.1,10.5,2.23776,24
2021-11-23,0,C14_L02_01_004,24.2,24,0,2,2,0,2.1,2.5,0.0252,24
2021-11-30,7,C14_L02_01_004,24.18181818,24,133,5,2,3,4,4.4,0.2112,24
2021-12-07,14,C14_L02_01_004,24,24,266,8,2,6,7.5,7.5,1.08,24
2021-12-28,0,C14_L02_01_004,24.36363636,24,0,2,2,0,0.5,0.8,0.00192,24
2022-01-11,7,C14_L02_01_004,24,24,133,6,2,4,4.3,4.8,0.297216,24
2022-01-18,14,C14_L02_01_004,23.33333333,24,252,8,2,6,9,9.2,1.58976,24
2021-11-23,0,C14_L02_01_005,24.2,24,0,2,2,0,1.8,1.9,0.016416,24
2021-11-30,7,C14_L02_01_005,24,24,133,4,2,2,2.5,3.9,0.0936,24
2021-12-07,14,C14_L02_01_005,23.91666667,24,252,7,2,5,7.7,8,1.03488,24
2021-12-28,0,C14_L02_01_005,24.36363636,24,0,1,1,0,1,1,0.0024,24
2022-01-11,7,C14_L02_01_005,24,24,133,5,1,4,5.4,5.7,0.36936,24
2022-01-18,14,C14_L02_01_005,23.5,24,252,7,1,6,8.2,8.5,1.17096,24
2021-11-23,0,C14_L02_01_006,24.3,24,0,2,2,0,1,1.1,0.00528,24
2021-11-30,7,C14_L02_01_006,24.2,24,133,4,2,2,2.5,3.6,0.0864,24
2021-12-07,14,C14_L02_01_006,23.90909091,24,252,6,2,4,6,7,0.6048,24
2021-12-28,0,C14_L02_01_006,24.33333333,24,0,1,1,0,1,1,0.0024,24
2022-01-11,7,C14_L02_01_006,24,24,133,5,1,4,5.7,5.9,0.40356,24
2022-01-18,14,C14_L02_01_006,23.6,24,252,9,1,8,9.7,9.7,2.032344,24
