date,DAP,fname,ti_value,leaf_cnt,temp,init_leaf_count,leaf_incr_count,GDD,tempRate,est_inc_leaf,temp1
2021-08-31,0,C15_L02_01_015,19.91666667,2,19,2,0,0,0,1.28549969,
2021-09-07,7,C15_L02_01_015,19.76923077,4,19,2,2,98,6.979567029,2.059464308,
2021-09-14,14,C15_L02_01_015,18.93939394,4,18,2,2,182,14,3.005130187,18
2021-09-24,10,C31_L02_01_05_001,23.73684211,7,23,2,5,180,9.416844687,2.979251804,
2021-10-01,17,C31_L02_01_05_001,23.22727273,9,23,2,7,306,16.00863597,4.92967131,
2021-10-08,24,C31_L02_01_05_001,25.09090909,9,25,2,7,480,21.54489523,8.342473369,
2021-10-15,31,C31_L02_01_05_001,24,13,24,2,11,589,28.53770598,10.39575912,24
2021-10-22,38,C31_L02_01_05_001,23.6,15,23,2,13,684,35.78400981,11.85665502,
2021-10-29,45,C31_L02_01_05_001,22.66666667,16,22,2,14,765,43.22390773,12.80781486,
2021-11-05,0,C31_L02_01_05_001,22.6,8,22,8,0,0,0,1.28549969,
2021-11-12,7,C31_L02_01_05_001,22.47368421,8,22,8,0,119,6.72371898,2.269427813,
2021-11-19,14,C31_L02_01_05_001,22.58823529,9,22,8,1,238,13.44743796,3.797905425,
2021-11-26,21,C31_L02_01_05_001,21.92857143,12,21,8,4,336,20.5068711,5.480090718,21
2021-12-06,31,C31_L02_01_05_001,21.22222222,14,21,8,6,496,30.27204782,8.660755263,21
2021-12-13,38,C31_L02_01_05_001,21.07692308,14,21,8,6,608,37.10767152,10.71662943,21
2022-01-10,0,C31_L02_01_05_001,19.52631579,5,19,5,0,0,0,1.28549969,
2022-01-17,7,C31_L02_01_05_001,19.71428571,5,19,5,0,98,6.979567029,2.059464308,
2021-09-24,0,C31_L02_01_05_002,23.66666667,7,23,5,2,0,0,1.28549969,
2021-10-01,7,C31_L02_01_05_002,23.21052632,8,23,5,3,126,6.591791281,2.343223459,
2021-10-08,14,C31_L02_01_05_002,25.30769231,10,25,5,5,280,12.56785555,4.476495633,
2021-10-15,21,C31_L02_01_05_002,23.5,14,23,5,9,378,19.77537384,6.290465212,
2021-10-22,28,C31_L02_01_05_002,23.5,14,23,5,9,504,26.36716512,8.81837923,
2021-10-29,35,C31_L02_01_05_002,22.55555556,16,22,5,11,595,33.6185949,10.49853118,
2021-11-05,0,C31_L02_01_05_002,22.57142857,6,22,6,0,0,0,1.28549969,
2021-11-12,7,C31_L02_01_05_002,22.52631579,7,22,6,1,119,6.72371898,2.269427813,
2021-11-19,14,C31_L02_01_05_002,22.70588235,8,22,6,2,238,13.44743796,3.797905425,
2021-11-26,21,C31_L02_01_05_002,21.91666667,9,21,6,3,336,20.5068711,5.480090718,21
2021-12-06,31,C31_L02_01_05_002,21.11111111,14,21,6,8,496,30.27204782,8.660755263,21
2021-12-13,38,C31_L02_01_05_002,21.63636364,15,21,6,9,608,37.10767152,10.71662943,21
2021-12-20,45,C31_L02_01_05_002,20,14,20,14,0,675,44.50322469,11.73415323,
2021-12-30,55,C31_L02_01_05_002,18.82352941,17,18,14,3,715,55,12.25255047,18
2022-01-05,0,C31_L02_01_05_002,19.65,5,19,5,0,0,0,1.28549969,
2022-01-10,5,C31_L02_01_05_002,19.59090909,5,19,5,0,70,4.985405021,1.80516681,
2022-01-17,7,C31_L02_01_05_002,19.76923077,5,19,5,0,98,6.979567029,2.059464308,
2021-09-24,0,C31_L02_01_05_003,23.6,7,23,5,2,0,0,1.28549969,
2021-10-01,7,C31_L02_01_05_003,23.35,8,23,5,3,126,6.591791281,2.343223459,
2021-10-08,14,C31_L02_01_05_003,25.25,10,25,5,5,280,12.56785555,4.476495633,
2021-10-15,21,C31_L02_01_05_003,24,11,24,5,6,399,19.33199437,6.708174872,24
2021-10-22,28,C31_L02_01_05_003,23.625,14,23,5,9,504,26.36716512,8.81837923,
2021-10-29,35,C31_L02_01_05_003,22.63636364,15,22,5,10,595,33.6185949,10.49853118,
2021-11-05,0,C31_L02_01_05_003,22.55,6,22,6,0,0,0,1.28549969,
2021-11-12,7,C31_L02_01_05_003,22.42105263,6,22,6,0,119,6.72371898,2.269427813,
2021-11-19,14,C31_L02_01_05_003,22.625,7,22,6,1,238,13.44743796,3.797905425,
2021-11-26,21,C31_L02_01_05_003,22,10,22,6,4,357,20.17115694,5.880320095,
2021-12-06,31,C31_L02_01_05_003,20.875,12,20,6,6,465,30.65777701,8.041243783,
2021-12-13,38,C31_L02_01_05_003,21.05,12,21,6,6,608,37.10767152,10.71662943,21
2021-12-20,45,C31_L02_01_05_003,19.46153846,13,19,6,7,630,44.86864519,11.07086777,
